"Grading","Country","Area","Town","Postcode","Name"
"3-star","England","Bedfordshire","Broom","SG18 9NA","Cock"
"3-star","England","Berkshire","Aldworth","RG8 9SE","Bell Inn"
"3-star","England","Buckinghamshire","West Wycombe","HP14 3AE","Swan"
"3-star","England","Cambridgeshire","Newton","CB22 7PG","Queen's Head"
"3-star","England","Cambridgeshire","Peterborough","PE1 3BE","Hand & Heart"
"3-star","England","Cheshire","Alpraham","CW6 9JA","Travellers Rest"
"3-star","England","Cheshire","Barthomley","CW2 5PG","White Lion"
"3-star","England","Cheshire","Gawsworth","SK11 9RJ","Harrington Arms"
"3-star","England","Cheshire","Macclesfield","SK11 6LB","Castle"
"3-star","England","Cheshire","Scholar Green","ST7 3BQ","Bleeding Wolf"
"3-star","England","Cornwall","Falmouth","TR11 3QA","Seven Stars"
"3-star","England","County Durham","Durham","DH1 4EQ","Colpitts Hotel"
"3-star","England","County Durham","Durham","DH1 3AS","Victoria Inn"
"3-star","England","Derbyshire","Brassington","DE4 4HJ","Olde Gate Inne"
"3-star","England","Derbyshire","Derby","DE21 7LH","Malt Shovel"
"3-star","England","Derbyshire","Derby","DE1 3DL","Olde Dolphin Inne"
"3-star","England","Derbyshire","Elton","DE4 2BW","Duke of York"
"3-star","England","Derbyshire","Glossop","SK13 8JF","Crown Inn"
"3-star","England","Derbyshire","Hassop","DE45 1NS","Eyre Arms"
"3-star","England","Derbyshire","Ilkeston","DE7 5TE","Dewdrop Inn"
"3-star","England","Derbyshire","Kirk Ireton","DE6 3JP","Barley Mow Inn"
"3-star","England","Derbyshire","Makeney","DE56 0RX","Holly Bush"
"3-star","England","Derbyshire","Ockbrook","DE72 3SE","Royal Oak"
"3-star","England","Derbyshire","Wardlow Mires","SK17 8RW","Three Stags' Heads"
"3-star","England","Devon","Barnstaple","EX31 1SY","Corner House"
"3-star","England","Devon","Cheriton Fitzpaine","EX17 4JW","Half Moon Inn"
"3-star","England","Devon","Drewsteignton","EX6 6QN","Drewe Arms"
"3-star","England","Devon","Topsham","EX3 0QQ","Bridge Inn"
"3-star","England","Dorset","Pamphill","BH21 4EE","Vine Inn"
"3-star","England","Dorset","Worth Matravers","BH19 3LF","Square & Compass"
"3-star","England","East Sussex","Brighton","BN1 1UB","King & Queen"
"3-star","England","East Sussex","Brighton","BN1 4ED","Prince Albert"
"3-star","England","East Sussex","Hadlow Down","TN22 4HJ","New Inn"
"3-star","England","East Sussex","Lewes","BN7 1YH","Lewes Arms"
"3-star","England","East Yorkshire","Beverley","HU17 8BN","White Horse"
"3-star","England","East Yorkshire","Bridlington","YO15 3EP","Station Buffet"
"3-star","England","East Yorkshire","Hull","HU1 1EP","White Hart"
"3-star","England","East Yorkshire","Hull","HU1 1JG","Olde White Harte"
"3-star","England","East Yorkshire","Hull","HU1 1PS","Olde Black Boy"
"3-star","England","Essex","Aveley","RM15 4AD","Old Ship Inn"
"3-star","England","Essex","Broads Green","CM3 1DT","Walnut Tree"
"3-star","England","Essex","Mill Green","CM4 0PT","Viper"
"3-star","England","Gloucestershire & Bristol","Ampney St. Peter","GL7 5SL","Red Lion"
"3-star","England","Gloucestershire & Bristol","Bristol","BS1 6DE","Kings Head"
"3-star","England","Gloucestershire & Bristol","Prestbury","GL52 3BG","Plough"
"3-star","England","Greater London Central","London","WC2E 9EB","Lamb & Flag"
"3-star","England","Greater London Central","London","WC2A 2JB","Seven Stars"
"3-star","England","Greater London Central","London","W1J 6NL","Guinea"
"3-star","England","Greater London Central","London","EC4Y 1HT","Tipperary"
"3-star","England","Greater London Central","London","EC3V 9DS","Jamaica Wine House"
"3-star","England","Greater London Central","London","EC1A 7AA","Viaduct Tavern"
"3-star","England","Greater London Central","London","WC2R 3LD","Cheshire Cheese"
"3-star","England","Greater London Central","London","W1D 5DH","Coach & Horses"
"3-star","England","Greater London Central","London","W1U 6QW","Barley Mow"
"3-star","England","Greater London Central","London","W1D 1AN","Flying Horse"
"3-star","England","Greater London Central","London","W1F 7TP","Argyll Arms"
"3-star","England","Greater London Central","London","WC2N 4AP","Salisbury"
"3-star","England","Greater London Central","London","WC1V 7EP","Princess Louise"
"3-star","England","Greater London Central","London","EC4A 2BU","Olde Cheshire Cheese"
"3-star","England","Greater London Central","London","EC4V 4EG","Black Friar"
"3-star","England","Greater London Central","London","WC1V 6BN","Cittie Of Yorke"
"3-star","England","Greater London Central","London","EC1A 7JA","Hand & Shears"
"3-star","England","Greater London Central","London","EC1N 6SJ","Olde Mitre"
"3-star","England","Greater London East","Dagenham","RM10 9HP","Admiral Vernon"
"3-star","England","Greater London East","Dagenham","RM10 7UP","Eastbrook"
"3-star","England","Greater London East","East Ham","E6 1PW","Boleyn Tavern"
"3-star","England","Greater London East","Hackney","E8 3RH","Dolphin"
"3-star","England","Greater London East","Poplar","E14 6AD","Festival Inn"
"3-star","England","Greater London North","Harringay","N4 1JX","Salisbury"
"3-star","England","Greater London North","Hornsey","N8 9DE","Queens"
"3-star","England","Greater London North","London","N1 9DU","Scottish Stores"
"3-star","England","Greater London North","London","N1 8HD","Island Queen"
"3-star","England","Greater London North West","Belsize Park","NW3 4UE","Washington"
"3-star","England","Greater London North West","Hampstead","NW3 1HE","Flask"
"3-star","England","Greater London North West","Harrow","HA1 3EF","Castle"
"3-star","England","Greater London North West","Kensal Rise","NW10 5JX","William"
"3-star","England","Greater London North West","Kilburn","NW6 2BY","Black Lion"
"3-star","England","Greater London North West","South Kenton","HA9 8QT","Windermere"
"3-star","England","Greater London North West","St John's Wood","NW8 8JR","Crocker's Folly"
"3-star","England","Greater London South East","East Dulwich","SE22 0RR","Herne Tavern"
"3-star","England","Greater London South East","Forest Hill","SE23 1JB","Blythe Hill Tavern"
"3-star","England","Greater London South East","Herne Hill","SE24 9HU","Half Moon"
"3-star","England","Greater London South East","Kennington","SE11 4RS","Old Red Lion"
"3-star","England","Greater London South East","London","SE1 5AA","Lord Nelson"
"3-star","England","Greater London South East","London","SE1 1NH","George"
"3-star","England","Greater London South East","Sidcup","DA15 8EA","Black Boy"
"3-star","England","Greater London South East","Walworth","SE17 2NH","Queen Elizabeth"
"3-star","England","Greater London South West","Battersea","SW11 1RU","Falcon"
"3-star","England","Greater London South West","Clapham","SW8 2RF","Feeleys"
"3-star","England","Greater London South West","Knightsbridge","SW3 1LA","Bunch Of Grapes"
"3-star","England","Greater London South West","London","SW1Y 6JP","Red Lion"
"3-star","England","Greater London South West","Putney","SW15 1JN","Duke's Head"
"3-star","England","Greater London South West","Tooting","SW17 7PB","King's Head"
"3-star","England","Greater London South West","Wandsworth","SW18 2PT","Spread Eagle"
"3-star","England","Greater London West","Brentford","TW8 0EW","Express Tavern"
"3-star","England","Greater London West","Cranford","TW5 9PB","Queen's Head"
"3-star","England","Greater London West","Hammersmith","W6 9TA","Dove"
"3-star","England","Greater London West","Hammersmith","W6 9JJ","Hope & Anchor"
"3-star","England","Greater London West","Hayes End","UB4 8HX","Angel"
"3-star","England","Greater London West","Kensington","W8 7AR","Windsor Castle"
"3-star","England","Greater London West","Maida Vale","W9 1EH","Warrington Hotel"
"3-star","England","Greater London West","Maida Vale","W9 1EE","Prince Alfred"
"3-star","England","Greater London West","Northolt","UB5 4LA","Greenwood Hotel"
